	avg_dmg_giv	avg_dmg_rec	champion	cs	gold	kda	most_death	most_kill	tower	win_ratio
0	150,585	19,761	이즈리얼	200.4	13,129	2.71	14	23	1.56	48
1	135,092	18,591	아리	183.0	12,414	3.11	12	24	0.93	64
2	168,536	17,224	바루스	218.3	13,161	2.76	12	22	1.14	43
3	149,392	16,617	진	195.8	12,439	2.89	15	20	1.14	51
4	111,281	16,271	미스 포츈	166.2	11,526	2.73	10	21	1.44	62
