	avg_dmg_giv	avg_dmg_rec	champion	cs	gold	kda	most_death	most_kill	tower	win_ratio
0	129,361	17,357	이즈리얼	193.7	11,939	2.63	14	18	1.28	50
1	157,506	16,974	진	208.0	13,246	3.16	12	18	1.60	60
2	148,016	17,628	애쉬	206.4	12,879	2.96	12	14	2.18	71
3	178,299	27,799	그레이브즈	67.7	12,619	2.18	12	19	0.76	50
4	162,816	21,228	코르키	209.5	13,823	2.86	12	19	1.03	64
