	champion	ck_rate	cs_per_min	kda	result	timestamp
340	코르키	48	7.2	4.33	승리	2017년 2월 14일 오전 2시 55분
341	마오카이	48	6.8	1.67	패배	2017년 2월 14일 오전 2시 16분
342	리 신	44	3.8	0.88	패배	2017년 2월 14일 오전 1시 31분
343	카사딘	47	6.8	4.25	승리	2017년 2월 14일 오전 12시 52분
344	진	53	6.3	1.14	패배	2017년 2월 14일 오전 12시 07분
345	마오카이	34	7.2	1.43	패배	2017년 2월 13일 오후 10시 47분
346	애쉬	63	6.6	8.00	승리	2017년 2월 13일 오후 10시 06분
347	진	42	4.4	2.30	승리	2017년 2월 13일 오후 9시 20분
348	미스 포츈	63	0.9	1.67	패배	2017년 2월 13일 오후 8시 31분
349	시비르	46	7.6	1.00	패배	2017년 2월 13일 오후 7시 28분
350	리 신	67	4.1	2.20	패배	2017년 2월 13일 오후 6시 48분
351	진	52	6.6	4.80	승리	2017년 2월 13일 오후 6시 00분
352	진	57	6.1	4.00	승리	2017년 2월 13일 오후 5시 17분
353	케이틀린	60	6.8	1.00	패배	2017년 2월 13일 오후 4시 46분
354	그레이브즈	41	4.4	1.00	패배	2017년 2월 13일 오후 4시 19분
355	그레이브즈	38	5.5	2.17	패배	2017년 2월 13일 오전 5시 23분
356	그레이브즈	55	5.6	3.63	패배	2017년 2월 13일 오전 4시 39분
357	바루스	58	6.7	2.11	패배	2017년 2월 13일 오전 3시 46분
358	그레이브즈	54	4.5	2.80	승리	2017년 2월 13일 오전 2시 55분
359	애쉬	79	6.8	8.67	승리	2017년 2월 12일 오후 10시 44분
360	마오카이	69	7.1	20.00	승리	2017년 2월 12일 오후 9시 48분
361	진	41	7.3	3.50	승리	2017년 2월 12일 오후 9시 11분
362	바루스	60	6.4	2.40	패배	2017년 2월 12일 오후 8시 30분
363	카직스	46	4.2	1.38	패배	2017년 2월 12일 오후 6시 34분
364	바루스	60	6.5	3.75	승리	2017년 2월 12일 오후 5시 57분
365	애쉬	56	7.3	2.50	패배	2017년 2월 12일 오후 5시 20분
366	바루스	59	7.8	2.67	승리	2017년 2월 12일 오후 4시 32분
367	카사딘	61	5.7	6.33	승리	2017년 2월 12일 오후 3시 42분
368	진	46	6.5	2.40	패배	2017년 2월 12일 오후 3시 00분
369	진	58	6	3.57	패배	2017년 2월 12일 오후 2시 22분
370	코르키	45	7.5	7.50	승리	2017년 2월 12일 오후 1시 16분
371	바루스	33	7.1	0.83	패배	2017년 2월 12일 오전 3시 22분
372	진	61	7.6	9.50	승리	2017년 2월 12일 오전 2시 41분
