	avg_dmg_giv	avg_dmg_rec	champion	cs	gold	kda	most_death	most_kill	tower	win_ratio
0	167,558	20,126	코르키	219.5	13,603	3.2	14	21	1.51	58
1	129,538	17,778	퀸	184.3	12,253	2.81	15	20	1.24	58
2	159,502	20,721	제이스	209.5	13,519	2.95	14	24	1.95	51
3	104,664	19,287	카사딘	184.8	10,935	3.39	9	20	0.90	43
4	126,647	25,452	피오라	208.2	12,029	2.42	12	15	1.82	59
