	avg_dmg_giv	avg_dmg_rec	champion	cs	gold	kda	most_death	most_kill	tower	win_ratio
0	136,058	28,495	블라디미르	181.7	12,177	2.22	15	22	0.84	57
1	134,191	19,782	제이스	190.5	12,698	2.53	14	16	1.79	49
2	173,269	26,691	그레이브즈	66.0	12,843	2.75	12	17	1.12	55
3	124,146	29,898	피오라	196.1	12,336	1.96	14	16	1.70	53
4	113,330	26,753	이렐리아	191.8	12,130	2.23	10	19	1.34	63
