	month	tier
0	2016.7	G1-6LP
1	2016.8	G1-6LP
2	2016.9	G1-37LP
3	2016.10	G1-58LP
4	2016.11	P4-100LP
5	2016.12	G2-100LP
6	2017.1	P5-81LP
7	2017.2	P3-63LP
8	2017.3	P5-79LP
9	2017.4	P5-81LP
10	2017.5	P5-38LP
11	2017.6	P2-54LP
